scenario,policy,step_idx,controller_queue,controller_latency_ms,attack_leakage_rate,critical_slice_survival_rate,ai_deadline_miss_rate,overall_sla_rate
ai_spike,security_only,0,16,5.36,0.0,1.0,0.0,0.9167
ai_spike,security_only,1,39,6.088,0.0,1.0,0.0,0.75
ai_spike,security_only,2,56,6.492,0.0,1.0,0.0,0.75
ai_spike,security_only,3,73,6.968,0.0,1.0,0.0,0.8333
ai_spike,security_only,4,90,7.444,0.0,1.0,0.0,0.8333
ai_spike,security_only,5,102,7.72,0.0,1.0,0.0,0.5833
ai_spike,security_only,6,132,8.776,0.0,1.0,0.0,0.75
ai_spike,security_only,7,158,9.456,0.0,1.0,0.0,0.6667
ai_spike,security_only,8,186,10.264,0.0,1.0,0.0,0.75
ai_spike,security_only,9,223,11.408,0.0,1.0,0.3333,0.5833
ai_spike,security_only,10,258,12.364,0.0,1.0,0.1667,0.5833
ai_spike,security_only,11,297,13.504,0.0,1.0,0.3333,0.5833
ai_spike,security_only,12,330,14.356,0.0,1.0,0.1667,0.75
ai_spike,security_only,13,371,15.6,0.0,0.6667,0.3333,0.6667
ai_spike,security_only,14,411,16.708,0.0,1.0,0.3333,0.8333
ai_spike,security_only,15,451,17.828,0.0,1.0,0.3333,0.6667
ai_spike,security_only,16,495,19.108,0.0,1.0,0.3333,0.5833
ai_spike,security_only,17,536,20.22,0.0,1.0,0.3333,0.75
ai_spike,failure_aware,0,0,4.912,0.0,1.0,0.0,0.9167
ai_spike,failure_aware,1,0,4.996,0.0,1.0,0.0,0.9167
ai_spike,failure_aware,2,0,4.924,0.0,1.0,0.0,0.8333
ai_spike,failure_aware,3,0,4.924,0.0,1.0,0.0,0.8333
ai_spike,failure_aware,4,0,4.924,0.0,1.0,0.0,0.8333
ai_spike,failure_aware,5,0,4.864,0.0,1.0,0.0,0.6667
ai_spike,failure_aware,6,0,5.08,0.0,1.0,0.0,0.75
ai_spike,failure_aware,7,0,5.032,0.0,1.0,0.0,0.8333
ai_spike,failure_aware,8,0,5.056,0.0,1.0,0.0,0.75
ai_spike,failure_aware,9,0,5.164,0.0,0.0,0.0,0.5
ai_spike,failure_aware,10,0,5.14,0.0,0.3333,0.0,0.6667
ai_spike,failure_aware,11,0,5.188,0.0,0.6667,0.0,0.6667
ai_spike,failure_aware,12,0,5.116,0.0,0.3333,0.0,0.6667
ai_spike,failure_aware,13,0,5.212,0.0,0.3333,0.1667,0.6667
ai_spike,failure_aware,14,0,5.2,0.0,0.3333,0.0,0.75
ai_spike,failure_aware,15,0,5.2,0.0,0.3333,0.1667,0.5833
ai_spike,failure_aware,16,0,5.248,0.0,0.6667,0.3333,0.5833
ai_spike,failure_aware,17,0,5.212,0.0,0.3333,0.0,0.5833
encrypted_ddos,static_qos,0,74,8.148,1.0,1.0,0.0,0.6667
encrypted_ddos,static_qos,1,200,12.3,1.0,1.0,0.0,0.6
encrypted_ddos,static_qos,2,321,15.628,1.0,1.0,0.0,0.6667
encrypted_ddos,static_qos,3,391,16.976,1.0,1.0,0.0,0.7333
encrypted_ddos,static_qos,4,473,19.416,1.0,1.0,0.0,0.6
encrypted_ddos,static_qos,5,594,23.272,1.0,1.0,0.0,0.6667
encrypted_ddos,static_qos,6,722,26.94,1.0,1.0,0.0,0.6
encrypted_ddos,static_qos,7,801,28.564,1.0,0.6667,0.1667,0.6
encrypted_ddos,static_qos,8,878,30.696,1.0,0.0,0.5,0.4
encrypted_ddos,static_qos,9,1013,35.172,1.0,0.0,0.5,0.4667
encrypted_ddos,static_qos,10,1150,39.032,1.0,0.0,0.5,0.4667
encrypted_ddos,static_qos,11,1242,41.068,1.0,0.0,0.5,0.5333
encrypted_ddos,static_qos,12,1332,43.564,1.0,0.0,0.5,0.5333
encrypted_ddos,static_qos,13,1472,48.084,1.0,0.0,0.5,0.3333
encrypted_ddos,static_qos,14,1609,51.884,1.0,0.0,0.5,0.4667
encrypted_ddos,static_qos,15,1700,53.88,1.0,0.0,0.5,0.4
encrypted_ddos,static_qos,16,1791,56.428,1.0,0.0,0.5,0.4
encrypted_ddos,static_qos,17,1928,60.816,1.0,0.0,0.6667,0.3333
encrypted_ddos,throughput_first,0,100,8.972,1.0,1.0,0.0,0.6
encrypted_ddos,throughput_first,1,268,14.492,1.0,1.0,0.0,0.6
encrypted_ddos,throughput_first,2,423,18.676,1.0,1.0,0.0,0.6
encrypted_ddos,throughput_first,3,527,20.976,1.0,1.0,0.0,0.6
encrypted_ddos,throughput_first,4,635,24.048,1.0,1.0,0.0,0.6
encrypted_ddos,throughput_first,5,798,29.272,1.0,0.6667,0.1667,0.5333
encrypted_ddos,throughput_first,6,968,34.116,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,7,1081,36.596,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,8,1192,39.68,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,9,1345,44.468,1.0,0.0,0.5,0.4
encrypted_ddos,throughput_first,10,1516,49.472,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,11,1642,52.46,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,12,1766,55.908,0.6667,0.0,0.5,0.4
encrypted_ddos,throughput_first,13,1940,61.38,1.0,0.0,0.5,0.4
encrypted_ddos,throughput_first,14,2119,66.452,1.0,0.0,0.6667,0.3333
encrypted_ddos,throughput_first,15,2252,69.624,0.6667,0.0,1.0,0.2
encrypted_ddos,throughput_first,16,2385,73.348,0.6667,0.0,1.0,0.2
encrypted_ddos,throughput_first,17,2564,78.912,0.6667,0.0,1.0,0.2
encrypted_ddos,security_only,0,98,8.46,0.0,1.0,0.0,0.6
encrypted_ddos,security_only,1,248,13.284,0.0,1.0,0.0,0.4667
encrypted_ddos,security_only,2,393,17.284,0.0,1.0,0.0,0.5333
encrypted_ddos,security_only,3,487,19.304,0.0,1.0,0.0,0.6667
encrypted_ddos,security_only,4,593,22.416,0.0,1.0,0.0,0.5333
encrypted_ddos,security_only,5,738,26.944,0.0,0.6667,0.1667,0.4667
encrypted_ddos,security_only,6,890,31.284,0.0,0.0,0.5,0.3333
encrypted_ddos,security_only,7,993,33.58,0.0,0.0,0.5,0.3333
encrypted_ddos,security_only,8,1094,36.384,0.0,0.0,0.5,0.3333
encrypted_ddos,security_only,9,1253,41.532,0.0,0.0,0.5,0.4667
encrypted_ddos,security_only,10,1414,46.064,0.0,0.0,0.5,0.4667
encrypted_ddos,security_only,11,1530,48.772,0.0,0.0,0.5,0.4667
encrypted_ddos,security_only,12,1644,51.94,0.0,0.0,0.5,0.3333
encrypted_ddos,security_only,13,1808,57.132,0.0,0.0,0.5,0.2
encrypted_ddos,security_only,14,1969,61.604,0.0,0.0,0.5,0.2667
encrypted_ddos,security_only,15,2084,64.272,0.0,0.0,0.6667,0.2667
encrypted_ddos,security_only,16,2199,67.492,0.0,0.0,0.6667,0.2
encrypted_ddos,security_only,17,2360,72.552,0.0,0.0,1.0,0.0667
encrypted_ddos,failure_aware,0,41,6.864,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,1,134,10.092,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,2,222,12.496,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,3,259,12.92,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,4,308,14.436,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,5,396,17.368,0.0,1.0,0.0,0.4
encrypted_ddos,failure_aware,6,491,20.112,0.0,1.0,0.0,0.4
