scenario,policy,step_idx,cell_id,slice_id,kind,latency_ms,service_ratio,sla_met,isolated,suspicious,mission_critical,ai_enabled,deadline_missed
normal,static_qos,13,cell-west,cell-west:mission,mission_critical,3.0656,1.0,True,False,False,True,True,False
normal,static_qos,13,cell-west,cell-west:ai-edge,ai_edge,3.0656,1.0,True,False,False,False,True,False
normal,static_qos,13,cell-west,cell-west:broadband,broadband,4.3467,0.8493,True,False,False,False,False,False
normal,static_qos,13,cell-west,cell-west:background,background,4.4287,0.8396,True,False,False,False,False,False
normal,static_qos,13,cell-central,cell-central:mission,mission_critical,3.0656,1.0,True,False,False,True,True,False
normal,static_qos,13,cell-central,cell-central:ai-edge,ai_edge,3.8309,0.91,True,False,False,False,True,False
normal,static_qos,13,cell-central,cell-central:broadband,broadband,5.7599,0.683,True,False,False,False,False,False
normal,static_qos,13,cell-central,cell-central:background,background,3.0656,1.0,True,False,False,False,False,False
normal,static_qos,13,cell-east,cell-east:mission,mission_critical,3.0656,1.0,True,False,False,True,True,False
normal,static_qos,13,cell-east,cell-east:ai-edge,ai_edge,3.0656,1.0,True,False,False,False,True,False
normal,static_qos,13,cell-east,cell-east:broadband,broadband,6.0054,0.6541,True,False,False,False,False,False
normal,static_qos,13,cell-east,cell-east:background,background,5.6574,0.6951,True,False,False,False,False,False
normal,static_qos,14,cell-west,cell-west:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,14,cell-west,cell-west:ai-edge,ai_edge,3.0637,1.0,True,False,False,False,True,False
normal,static_qos,14,cell-west,cell-west:broadband,broadband,3.8565,0.9067,True,False,False,False,False,False
normal,static_qos,14,cell-west,cell-west:background,background,4.5703,0.8227,True,False,False,False,False,False
normal,static_qos,14,cell-central,cell-central:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,14,cell-central,cell-central:ai-edge,ai_edge,3.1384,0.9912,True,False,False,False,True,False
normal,static_qos,14,cell-central,cell-central:broadband,broadband,5.2854,0.7386,True,False,False,False,False,False
normal,static_qos,14,cell-central,cell-central:background,background,3.0637,1.0,True,False,False,False,False,False
normal,static_qos,14,cell-east,cell-east:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,14,cell-east,cell-east:ai-edge,ai_edge,3.1114,0.9944,True,False,False,False,True,False
normal,static_qos,14,cell-east,cell-east:broadband,broadband,5.1718,0.752,True,False,False,False,False,False
normal,static_qos,14,cell-east,cell-east:background,background,4.1671,0.8702,True,False,False,False,False,False
normal,static_qos,15,cell-west,cell-west:mission,mission_critical,3.1837,1.0,True,False,False,True,True,False
normal,static_qos,15,cell-west,cell-west:ai-edge,ai_edge,3.1837,1.0,True,False,False,False,True,False
normal,static_qos,15,cell-west,cell-west:broadband,broadband,4.7121,0.8202,True,False,False,False,False,False
normal,static_qos,15,cell-west,cell-west:background,background,3.1837,1.0,True,False,False,False,False,False
normal,static_qos,15,cell-central,cell-central:mission,mission_critical,3.1837,1.0,True,False,False,True,True,False
normal,static_qos,15,cell-central,cell-central:ai-edge,ai_edge,3.1837,1.0,True,False,False,False,True,False
normal,static_qos,15,cell-central,cell-central:broadband,broadband,5.2134,0.7612,True,False,False,False,False,False
normal,static_qos,15,cell-central,cell-central:background,background,5.997,0.669,True,False,False,False,False,False
normal,static_qos,15,cell-east,cell-east:mission,mission_critical,3.1837,1.0,True,False,False,True,True,False
normal,static_qos,15,cell-east,cell-east:ai-edge,ai_edge,3.9042,0.9152,True,False,False,False,True,False
normal,static_qos,15,cell-east,cell-east:broadband,broadband,4.5908,0.8345,True,False,False,False,False,False
normal,static_qos,15,cell-east,cell-east:background,background,6.157,0.6502,True,False,False,False,False,False
normal,static_qos,16,cell-west,cell-west:mission,mission_critical,3.0714,1.0,True,False,False,True,True,False
normal,static_qos,16,cell-west,cell-west:ai-edge,ai_edge,3.3689,0.965,True,False,False,False,True,False
normal,static_qos,16,cell-west,cell-west:broadband,broadband,6.1192,0.6414,True,False,False,False,False,False
normal,static_qos,16,cell-west,cell-west:background,background,3.0714,1.0,True,False,False,False,False,False
normal,static_qos,16,cell-central,cell-central:mission,mission_critical,3.0714,1.0,True,False,False,True,True,False
normal,static_qos,16,cell-central,cell-central:ai-edge,ai_edge,3.0714,1.0,True,False,False,False,True,False
normal,static_qos,16,cell-central,cell-central:broadband,broadband,4.7293,0.805,True,False,False,False,False,False
normal,static_qos,16,cell-central,cell-central:background,background,5.7101,0.6896,True,False,False,False,False,False
normal,static_qos,16,cell-east,cell-east:mission,mission_critical,3.0714,1.0,True,False,False,True,True,False
normal,static_qos,16,cell-east,cell-east:ai-edge,ai_edge,3.6071,0.937,True,False,False,False,True,False
normal,static_qos,16,cell-east,cell-east:broadband,broadband,4.8189,0.7944,True,False,False,False,False,False
normal,static_qos,16,cell-east,cell-east:background,background,6.1995,0.632,False,False,False,False,False,False
normal,static_qos,17,cell-west,cell-west:mission,mission_critical,3.0675,1.0,True,False,False,True,True,False
normal,static_qos,17,cell-west,cell-west:ai-edge,ai_edge,3.4084,0.9599,True,False,False,False,True,False
normal,static_qos,17,cell-west,cell-west:broadband,broadband,6.2129,0.63,False,False,False,False,False,False
normal,static_qos,17,cell-west,cell-west:background,background,3.0675,1.0,True,False,False,False,False,False
normal,static_qos,17,cell-central,cell-central:mission,mission_critical,3.0675,1.0,True,False,False,True,True,False
normal,static_qos,17,cell-central,cell-central:ai-edge,ai_edge,3.0675,1.0,True,False,False,False,True,False
normal,static_qos,17,cell-central,cell-central:broadband,broadband,6.223,0.6288,False,False,False,False,False,False
normal,static_qos,17,cell-central,cell-central:background,background,5.2696,0.7409,True,False,False,False,False,False
normal,static_qos,17,cell-east,cell-east:mission,mission_critical,3.0675,1.0,True,False,False,True,True,False
normal,static_qos,17,cell-east,cell-east:ai-edge,ai_edge,3.0675,1.0,True,False,False,False,True,False
normal,static_qos,17,cell-east,cell-east:broadband,broadband,3.9506,0.8961,True,False,False,False,False,False
normal,static_qos,17,cell-east,cell-east:background,background,3.3659,0.9649,True,False,False,False,False,False
normal,throughput_first,0,cell-west,cell-west:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,throughput_first,0,cell-west,cell-west:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,throughput_first,0,cell-west,cell-west:broadband,broadband,3.1587,1.0,True,False,False,False,False,False
normal,throughput_first,0,cell-west,cell-west:background,background,6.1881,0.6436,True,False,False,False,False,False
normal,throughput_first,0,cell-central,cell-central:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,throughput_first,0,cell-central,cell-central:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,throughput_first,0,cell-central,cell-central:broadband,broadband,3.1587,1.0,True,False,False,False,False,False
normal,throughput_first,0,cell-central,cell-central:background,background,6.9022,0.5596,False,False,False,False,False,False
normal,throughput_first,0,cell-east,cell-east:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,throughput_first,0,cell-east,cell-east:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,throughput_first,0,cell-east,cell-east:broadband,broadband,3.1587,1.0,True,False,False,False,False,False
normal,throughput_first,0,cell-east,cell-east:background,background,6.873,0.563,False,False,False,False,False,False
normal,throughput_first,1,cell-west,cell-west:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,throughput_first,1,cell-west,cell-west:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
normal,throughput_first,1,cell-west,cell-west:broadband,broadband,3.056,1.0,True,False,False,False,False,False
normal,throughput_first,1,cell-west,cell-west:background,background,6.9268,0.5446,False,False,False,False,False,False
normal,throughput_first,1,cell-central,cell-central:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,throughput_first,1,cell-central,cell-central:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
normal,throughput_first,1,cell-central,cell-central:broadband,broadband,3.7711,0.9159,True,False,False,False,False,False
normal,throughput_first,1,cell-central,cell-central:background,background,7.4041,0.4885,False,False,False,False,False,False
normal,throughput_first,1,cell-east,cell-east:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,throughput_first,1,cell-east,cell-east:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
